#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
117,玄関,genkan,Noun,entrance,unseen,N5
,,げんかん,,,unseen,N5
118,元気,genki,"Noun, Adjective, な-adjective",lively; full of spirit; energetic; healthy,unseen,N5
,,げんき,,,unseen,N5
119,月曜日,getsuyoubi,Noun,Monday,unseen,N5
,,げつようび,,,unseen,N5
120,銀行,ginkou,Noun,bank,unseen,N5
,,ぎんこう,,,unseen,N5
121,ギター,gitaa,"Noun, Katakana",guitar,unseen,N5
,,,,,,
122,五,go,"Noun, Numeric",five; 5,unseen,N5
,,ご,,,unseen,N5
123,午後,gogo,Noun,afternoon; p.m.,unseen,N5
,,ごご,,,unseen,N5
124,ご飯,gohan,Noun,"cooked rice, meal",unseen,N5
,,ごはん,,,unseen,N5
125,午前,gozen,Noun,morning; a.m.,unseen,N5
,,ごぜん,,,unseen,N5
126,グラム,guramu,"Noun, Katakana",gram,unseen,N5
,,,,,,
127,牛肉,gyuuniku,Noun,beef,unseen,N5
,,ぎゅうにく,,,unseen,N5
128,牛乳,gyuunyuu,Noun,(cow's) milk,unseen,N5
,,ぎゅうにゅう,,,unseen,N5
129,歯,ha,Noun,tooth,unseen,N5
,,は,,,unseen,N5
130,八,hachi,"Noun, Numeric",eight: 8,unseen,N5
,,はち,,,unseen,N5
131,葉書,hagaki,Noun,postcard,unseen,N5
,,はがき,,,unseen,N5
132,母,haha,Noun,mother,unseen,N5
,,はは,,,unseen,N5
133,はい,hai,Noun,yes; that is correct​,unseen,N5
,,,,,,
134,入る,hairu,"Verb, Godan verb, Intransitive verb",to enter; to go into,unseen,N5
,,はいる,,,unseen,N5
135,灰皿,haizara,Noun,ashtray,unseen,N5
,,はいざら,,,unseen,N5
136,始まる,hajimaru,"Verb, Godan verb, Intransitive verb",to begin,unseen,N5
,,はじまる,,,unseen,N5
137,初めて,hajimete,Adverb,for the first time,unseen,N5
,,はじめて,,,unseen,N5
138,箱,hako,Noun,box; crate,unseen,N5
,,はこ,,,unseen,N5
139,履く,haku,"Verb, Godan verb, Transitive verb","to wear, to put on trousers",unseen,N5
,,はく,,,unseen,N5
140,半,han,Noun,half; semi-; half-past,unseen,N5
,,はん,,,unseen,N5
141,花,hana,Noun,flower,unseen,N5
,,はな,,,unseen,N5
