#,ごい,Vocabulary,Type,Meaning,Learning Status,Level
596,上,ue,"Noun, Suffix",above; up; over; top; surface,unseen,N5
,,うえ,,,unseen,N5
597,生まれる,umareru,"Verb, Ichidan verb, Intransitive verb",to be born,unseen,N5
,,うまれる,,,unseen,N5
598,海,umi,Noun,sea,unseen,N5
,,うみ,,,unseen,N5
599,売る,uru,"Verb, Godan verb, Transitive verb",to sell,unseen,N5
,,うる,,,unseen,N5
600,煩い,urusai,い-adjective,"noisy, annoying",unseen,N5
,,うるさい,,,unseen,N5
601,後ろ,ushiro,Noun,back; behind; rear,unseen,N5
,,うしろ,,,unseen,N5
602,薄い,usui,"Adjective, い-adjective",thin; weak,unseen,N5
,,うすい,,,unseen,N5
603,歌,uta,Noun,song,unseen,N5
,,うた,,,unseen,N5
604,歌う,utau,"Verb, Godan verb, Intransitive verb, Transitive verb",to sing,unseen,N5
,,うたう,,,unseen,N5
605,上着,uwagi,Noun,coat; tunic; jacket; outer garment,unseen,N5
,,うわぎ,,,unseen,N5
606,ワイシャツ,wai shatsu,"Noun, Katakana, Wasei",shirt,unseen,N5
,,,,,,
607,若い,wakai,"Adjective, い-adjective",young,unseen,N5
,,わかい,,,unseen,N5
608,分かる,wakaru,"Verb, Godan verb, Intransitive verb",to understand; to comprehend; to grasp; to see; to get; to follow,unseen,N5
,,わかる,,,unseen,N5
609,悪い,warui,"Adjective, い-adjective",bad; poor; undesirable,unseen,N5
,,わるい,,,unseen,N5
610,忘れる,wasureru,"Verb, Ichidan verb, Transitive verb",to forget,unseen,N5
,,わすれる,,,unseen,N5
611,渡る,wataru,"Verb, Godan verb, Intransitive verb",to go across,unseen,N5
,,わたる,,,unseen,N5
612,私,watashi,Pronoun,I; myself,unseen,N5
,,わたし,,,unseen,N5
613,渡す,watasu,"Verb, Godan verb, Transitive verb",to hand over,unseen,N5
,,わたす,,,unseen,N5
614,山,yama,Noun,mountain; hill,unseen,N5
,,やま,,,unseen,N5
615,八百屋,yaoya,Noun,greengrocer; fruit and vegetable shop; versatile,unseen,N5
,,やおや,,,unseen,N5
616,やる,yaru,"Verb, Godan verb, Transitive verb",to do,unseen,N5
,,,,,,
617,野菜,yasai,Noun,vegetable,unseen,N5
,,やさい,,,unseen,N5
618,易しい,yasashii,"Adjective, い-adjective","easy, simple",unseen,N5
,,やさしい,,,unseen,N5
619,安い,yasui,"Adjective, い-adjective",cheap; inexpensive,unseen,N5
,,やすい,,,unseen,N5
620,休み,yasumi,Noun,rest; vacation; holiday,unseen,N5
,,やすみ,,,unseen,N5
621,休む,yasumu,"Verb, Godan verb, Intransitive verb",to be absent; to take a day off; to rest,unseen,N5
,,やすむ,,,unseen,N5
622,八つ,yattsu,"Noun, Numeric",eight: 8,unseen,N5
,,やっつ,,,unseen,N5
623,呼ぶ,yobu,"Verb, Godan verb, Transitive verb","to call out, to invite",unseen,N5
,,よぶ,,,unseen,N5
624,良い,yoi/ii,"Adjective, い-adjective",good,unseen,N5
,,よい/いい,,,unseen,N5
625,四日,yokka,Noun,fourth day of the month / 4 days,unseen,N5
,,よっか,,,unseen,N5
626,横,yoko,Noun,"beside,side,width",unseen,N5
,,よこ,,,unseen,N5
627,よく,yoku,Adverb,"often, well",unseen,N5
,,,,,,
628,読む,yomu,"Verb, Godan verb, Transitive verb",to read; to guess; to predict; to read (someone's thoughts),unseen,N5
,,よむ,,,unseen,N5
629,夜,yoru,Noun,evening; night,unseen,N5
,,よる,,,unseen,N5
630,四つ,yotsu,"Noun, Numeric",four; 4,unseen,N5
,,よつ,,,unseen,N5
631,洋服,youfuku,Noun,western clothes,unseen,N5
,,ようふく,,,unseen,N5
632,八日,youka,Noun,eighth day of the month / 8 days,unseen,N5
,,ようか,,,unseen,N5
633,弱い,yowai,"Adjective, い-adjective",weak,unseen,N5
,,よわい,,,unseen,N5
634,雪,yuki,Noun,snow,unseen,N5
,,ゆき,,,unseen,N5
635,ゆっくり,yukkuri,Adverb,slowly,unseen,N5
,,,,,,
636,昨夜,yuube,Noun,last night,unseen,N5
,,ゆうべ,,,unseen,N5
637,郵便局,yuubinkyoku,Noun,post office,unseen,N5
,,ゆうびんきょく,,,unseen,N5
638,夕方,yuugata,Noun,evening; dusk,unseen,N5
,,ゆうがた,,,unseen,N5
639,夕飯,yuuhan,Noun,evening meal,unseen,N5
,,ゆうはん,,,unseen,N5
640,有名,yuumei,"Noun, Adjective, な-adjective",famous,unseen,N5
,,ゆうめい,,,unseen,N5
641,雑誌,zasshi,Noun,magazine,unseen,N5
,,ざっし,,,unseen,N5
642,全部,zenbu,"Noun, Adverbial Noun",all,unseen,N5
,,ぜんぶ,,,unseen,N5
643,ゼロ,zero,Noun,zero,unseen,N5
,,,,,,
644,ズボン,zubon,"Noun, Katakana",trousers; pants,unseen,N5
