#,Word,Hiragana,Romaji,Type,Meaning,Learning Status,Level
113.0,外国,がいこく,gaikoku,Noun,foreign country,unseen,N5
114.0,外国人,がいこくじん,gaikokujin,Noun,foreigner; foreign citizen; foreign national; alien; non-Japanese,unseen,N5
115.0,学校,がっこう,gakkou,Noun,school,unseen,N5
116.0,学生,がくせい,gakusei,Noun,student,unseen,N5
117.0,玄関,げんかん,genkan,Noun,entrance,unseen,N5
118.0,元気,げんき,genki,"Noun, Adjective, な-adjective",lively; full of spirit; energetic; healthy,unseen,N5
119.0,月曜日,げつようび,getsuyoubi,Noun,Monday,unseen,N5
120.0,銀行,ぎんこう,ginkou,Noun,bank,unseen,N5
121.0,ギター,,gitaa,"Noun, Katakana",guitar,unseen,N5
122.0,五,ご,go,"Noun, Numeric",five; 5,unseen,N5
123.0,午後,ごご,gogo,Noun,afternoon; p.m.,unseen,N5
124.0,ご飯,ごはん,gohan,Noun,"cooked rice, meal",unseen,N5
125.0,午前,ごぜん,gozen,Noun,morning; a.m.,unseen,N5
126.0,グラム,,guramu,"Noun, Katakana",gram,unseen,N5
127.0,牛肉,ぎゅうにく,gyuuniku,Noun,beef,unseen,N5
128.0,牛乳,ぎゅうにゅう,gyuunyuu,Noun,(cow's) milk,unseen,N5
129.0,歯,は,ha,Noun,tooth,unseen,N5
130.0,八,はち,hachi,"Noun, Numeric",eight: 8,unseen,N5
131.0,葉書,はがき,hagaki,Noun,postcard,unseen,N5
132.0,母,はは,haha,Noun,mother,unseen,N5
133.0,はい,,hai,Noun,yes; that is correct​,unseen,N5
134.0,入る,はいる,hairu,"Verb, Godan verb, Intransitive verb",to enter; to go into,unseen,N5
135.0,灰皿,はいざら,haizara,Noun,ashtray,unseen,N5
136.0,始まる,はじまる,hajimaru,"Verb, Godan verb, Intransitive verb",to begin,unseen,N5
137.0,初めて,はじめて,hajimete,Adverb,for the first time,unseen,N5
138.0,箱,はこ,hako,Noun,box; crate,unseen,N5
139.0,履く,はく,haku,"Verb, Godan verb, Transitive verb","to wear, to put on trousers",unseen,N5
140.0,半,はん,han,Noun,half; semi-; half-past,unseen,N5
141.0,花,はな,hana,Noun,flower,unseen,N5
142.0,鼻,はな,hana,Noun,nose,unseen,N5
143.0,話,はなし,hanashi,Noun,talk; speech; chat; conversation​,unseen,N5
144.0,話す,はなす,hanasu,"Verb, Godan verb, Transitive verb",to speak; to talk; to converse,unseen,N5
145.0,半分,はんぶん,hanbun,Noun,half,unseen,N5
146.0,ハンカチ,,hankachi,"Noun, Katakana",handkerchief​,unseen,N5
147.0,晴れ,はれ,hare,Noun,clear weather,unseen,N5
148.0,晴れる,はれる,hareru,"Verb, Ichidan verb, Intransitive verb",to be sunny,unseen,N5
149.0,春,はる,haru,Noun,spring; springtime,unseen,N5
150.0,貼る,はる,haru,"Verb, Godan verb, Transitive verb",to stick; to paste,unseen,N5
151.0,箸,はし,hashi,Noun,chopsticks,unseen,N5
152.0,橋,はし,hashi,Noun,bridge,unseen,N5
153.0,走る,はしる,hashiru,"Verb, Godan verb, Intransitive verb",to run,unseen,N5
154.0,二十歳,はたち,hatachi,Noun,20 years old; twenty years old,unseen,N5
155.0,働く,はたらく,hataraku,"Verb, Godan verb, Intransitive verb",to work,unseen,N5
156.0,二十日,はつか,hatsuka,Noun,twentieth day of the month / 20 days,unseen,N5
157.0,速い,はやい,hayai,"Adjective, い-adjective",fast; quick; hasty; brisk,unseen,N5
158.0,早い,はやい,hayai,"Adjective, い-adjective",fast; early,unseen,N5
159.0,辺,へん,hen,Noun,area,unseen,N5
160.0,下手,へた,heta,"Noun, Adjective, な-adjective",unskillful; poor; awkward​,unseen,N5
161.0,部屋,へや,heya,Noun,room,unseen,N5
162.0,左,ひだり,hidari,Noun,left; left hand side,unseen,N5
163.0,東,ひがし,higashi,Noun,east,unseen,N5
164.0,飛行機,ひこうき,hikouki,Noun,airplane; aircraft,unseen,N5
165.0,引く,ひく,hiku,"Verb, Godan verb, Transitive verb",to pull,unseen,N5
166.0,弾く,ひく,hiku,"Verb, Godan verb, Transitive verb",to play,unseen,N5
167.0,低い,ひくい,hikui,い-adjective,"short,low",unseen,N5
168.0,暇,ひま,hima,"Noun, な-adjective",free time,unseen,N5
169.0,広い,ひろい,hiroi,い-adjective,spacious; vast; wide,unseen,N5
170.0,昼,ひる,hiru,Noun,noon; midday; daytime; lunch,unseen,N5
171.0,昼ご飯,ひるごはん,hirugohan,Noun,lunch,unseen,N5
172.0,人,ひと,hito,Noun,person; human,unseen,N5
173.0,一人,ひとり,hitori,"Noun, Adverb",one person​; alone; single,unseen,N5
174.0,一つ,ひとつ,hitotsu,"Noun, Numeric",one thing; only,unseen,N5
